,0
0,0
1,2
2,2
3,1
4,1
5,2
6,0
7,2
8,0
9,0
10,0
11,0
12,0
13,1
14,1
15,0
16,1
17,2
18,2
19,2
20,2
21,0
22,1
23,2
24,2
25,2
26,2
27,1
28,2
29,0
30,1
31,1
32,2
33,2
34,2
35,0
36,0
37,0
38,0
39,2
40,0
41,1
42,1
43,1
44,0
45,2
46,0
47,2
48,2
49,0
50,0
51,2
52,1
53,1
54,2
55,1
56,1
57,0
58,0
59,2
60,0
61,1
62,1
63,1
64,1
65,0
66,1
67,2
68,0
69,0
70,0
71,2
72,0
73,0
74,0
75,2
76,1
77,0
78,1
79,2
80,0
81,0
82,0
83,1
84,2
85,2
86,0
87,1
88,0
89,0
90,2
91,2
92,0
93,0
94,2
95,2
96,2
97,2
98,0
99,1
100,1
101,1
102,0
103,2
104,0
105,1
106,0
107,1
108,2
109,0
110,1
111,0
112,0
113,0
114,1
115,0
116,1
117,2
118,0
119,0
120,2
121,0
122,0
123,2
124,0
125,0
126,2
127,0
128,2
129,0
130,2
131,2
132,2
133,0
134,2
135,2
136,2
137,2
138,0
139,2
140,2
141,1
142,2
143,0
144,0
145,0
146,2
147,0
148,2
149,1
150,1
151,0
152,0
153,0
154,2
155,1
156,2
157,1
158,0
159,1
160,1
161,2
162,0
163,0
164,0
165,0
166,1
167,2
168,1
169,1
170,0
171,2
172,0
173,2
174,1
175,0
176,2
177,2
178,1
179,2
180,1
181,2
182,1
183,1
184,1
185,0
186,2
187,0
188,0
189,2
190,0
191,1
192,0
193,2
194,2
195,0
196,0
197,1
198,0
199,0
200,1
201,0
202,2
203,1
204,0
205,0
206,2
207,1
208,0
209,2
210,0
211,1
212,0
213,2
214,0
215,0
216,0
217,2
218,0
219,2
220,1
221,0
222,1
223,1
224,2
225,0
226,2
227,0
228,0
229,0
230,0
231,2
232,0
233,2
234,2
235,2
236,1
237,0
238,2
239,0
240,0
241,1
242,1
243,0
244,1
245,1
246,2
247,2
248,2
249,0
250,2
251,1
252,0
253,0
254,0
255,2
256,1
257,2
258,1
259,0
260,0
261,0
262,0
263,1
264,1
265,2
266,1
267,2
268,2
269,2
270,2
271,1
272,2
273,2
274,2
275,2
276,1
277,1
278,2
279,2
280,2
281,1
282,2
283,0
284,2
285,0
286,1
287,0
288,0
289,0
290,2
291,1
292,2
293,1
294,0
295,2
296,2
297,1
298,2
299,2
300,1
301,0
302,2
303,0
304,0
305,1
306,1
307,2
308,2
309,1
310,0
311,0
312,0
313,2
314,2
315,1
316,0
317,1
318,2
319,0
320,1
321,2
322,2
323,0
324,0
325,0
326,1
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,2
335,1
336,2
337,1
338,1
339,0
340,1
341,0
342,2
343,2
344,0
345,0
346,1
347,0
348,1
349,1
350,2
351,1
352,0
353,2
354,1
355,0
356,2
357,0
358,2
359,1
360,2
361,1
362,2
363,0
364,0
365,0
366,2
367,2
368,2
369,2
370,0
371,1
372,2
373,0
374,2
375,0
376,0
377,2
378,2
379,0
380,2
381,1
382,2
383,0
384,1
385,1
386,2
387,0
388,0
389,0
390,1
391,1
392,0
393,2
394,1
395,0
396,2
397,2
398,0
399,1
400,2
401,2
402,0
403,1
404,0
405,1
406,0
407,1
408,1
409,2
410,2
411,0
412,2
413,2
414,2
415,1
416,1
417,0
418,2
419,2
420,1
421,2
422,0
423,0
424,0
425,0
426,0
427,2
428,1
429,1
430,1
431,0
432,1
433,0
434,1
435,2
436,1
437,2
438,0
439,2
440,0
441,1
442,1
443,2
444,0
445,1
446,2
447,2
448,2
449,2
450,0
451,2
452,0
453,0
454,0
455,1
456,0
457,0
458,2
459,0
460,2
461,2
462,0
463,1
464,0
465,1
466,0
467,2
468,0
469,0
470,0
471,0
472,0
473,1
474,2
475,2
476,1
477,0
478,2
479,0
480,2
481,2
482,2
483,2
484,1
485,1
486,0
487,2
488,0
489,2
490,1
491,2
492,0
493,2
494,1
495,2
496,1
497,2
498,2
499,2
500,0
501,2
502,2
503,0
504,0
505,0
506,1
507,1
508,0
509,2
510,0
511,0
512,0
513,1
514,0
515,2
516,2
517,2
518,2
519,2
520,2
521,2
522,1
523,1
524,2
525,1
526,2
527,1
528,2
529,0
530,0
531,2
532,2
533,0
534,0
535,0
536,2
537,1
538,1
539,2
540,2
541,0
542,1
543,0
544,0
545,0
546,2
547,2
548,1
549,2
550,0
551,1
552,0
553,1
554,2
555,2
556,0
557,0
558,0
559,2
560,0
561,1
562,0
563,0
564,0
565,2
566,1
567,2
568,2
569,2
570,1
571,0
572,2
573,2
574,2
575,1
576,2
577,2
578,0
579,0
580,2
581,2
582,2
583,0
584,2
585,1
586,2
587,2
588,2
589,0
590,0
591,2
592,1
593,0
594,0
595,0
596,1
597,0
598,1
599,0
600,2
601,0
602,1
603,0
604,2
605,0
606,2
607,1
608,2
609,2
610,1
611,2
612,0
613,2
614,2
615,0
616,2
617,0
618,1
619,2
620,2
621,2
622,1
623,2
624,1
625,2
626,1
627,2
628,2
629,0
630,0
631,2
632,2
633,0
634,1
635,0
636,0
637,0
638,2
639,1
640,2
641,2
642,0
643,2
644,1
645,1
646,0
647,2
648,2
649,2
650,1
651,1
652,1
653,0
654,0
655,2
656,2
657,2
658,2
659,1
660,0
661,1
662,1
663,0
664,2
665,0
666,2
667,2
668,1
669,0
670,0
671,2
672,0
673,1
674,2
675,2
676,1
677,0
678,0
679,1
680,2
681,0
682,2
683,0
684,1
685,2
686,0
687,2
688,2
689,2
690,2
691,2
692,2
693,1
694,1
695,1
696,2
697,2
698,2
699,0
700,0
701,1
702,1
703,1
704,0
705,2
706,1
707,1
708,0
709,0
710,2
711,1
712,2
713,2
714,0
715,0
716,1
717,2
718,0
719,0
720,0
721,2
722,0
723,0
724,0
725,2
726,2
727,2
728,2
729,1
730,2
731,2
732,0
733,1
734,0
735,1
736,0
737,0
738,0
739,2
740,1
741,0
742,1
743,1
744,1
745,1
746,1
747,0
748,0
749,1
750,0
751,2
752,2
753,1
754,2
755,2
756,0
757,2
758,0
759,0
760,0
761,1
762,0
763,2
764,0
765,2
766,2
767,0
768,2
769,0
770,1
771,2
772,0
773,0
774,0
775,2
776,0
777,2
778,2
779,0
780,1
781,2
782,1
783,0
784,2
785,2
786,2
787,0
788,0
789,0
790,1
791,2
792,2
793,0
794,2
795,1
796,0
797,2
798,1
799,2
800,0
801,0
802,2
803,1
804,2
805,2
806,0
807,2
808,2
809,0
810,2
811,0
812,0
813,0
814,1
815,1
816,2
817,2
818,2
819,0
820,2
821,0
822,2
823,2
824,0
825,2
826,2
827,0
828,0
829,2
830,2
831,1
832,0
833,2
834,0
835,2
836,0
837,0
838,2
839,2
840,0
841,1
842,2
843,1
844,1
845,2
846,2
847,0
848,2
849,2
850,0
851,0
852,2
853,0
854,2
855,1
856,1
857,2
858,2
859,2
860,0
861,1
862,1
863,1
864,1
865,0
866,2
867,1
868,1
869,0
870,1
871,2
872,2
873,2
874,2
875,0
876,0
877,1
878,2
879,0
880,1
881,0
882,2
883,0
884,2
885,1
886,0
887,0
888,2
889,2
890,0
891,0
892,2
893,2
894,2
895,2
896,1
897,1
898,0
899,2
900,0
901,0
902,1
903,2
904,2
905,2
906,0
907,2
908,2
909,0
910,0
911,0
912,1
913,2
914,2
915,0
916,1
917,1
918,1
919,0
920,2
921,1
922,0
923,2
924,1
925,0
926,1
927,1
928,2
929,0
930,1
931,2
932,2
933,2
934,2
935,0
936,1
937,2
938,1
939,1
940,2
941,0
942,0
943,0
944,2
945,1
946,2
947,2
948,0
949,2
950,0
951,2
952,0
953,1
954,2
955,0
956,2
957,0
958,2
959,2
960,0
961,1
962,1
963,0
964,0
965,1
966,2
967,0
968,0
969,1
970,2
971,1
972,2
973,2
974,1
975,0
976,2
977,2
978,2
979,1
980,2
981,1
982,1
983,0
984,0
985,0
986,0
987,2
988,0
989,1
990,2
991,1
992,1
993,1
994,0
995,2
996,1
997,0
998,2
999,2
1000,2
1001,0
1002,1
1003,1
1004,1
1005,1
1006,2
1007,0
1008,2
1009,0
1010,2
1011,1
1012,1
1013,2
1014,0
1015,0
1016,0
1017,2
1018,0
1019,1
1020,2
1021,2
1022,0
1023,2
1024,1
1025,1
1026,2
1027,0
1028,1
1029,1
1030,1
1031,2
1032,0
1033,0
1034,0
1035,2
1036,2
1037,0
1038,0
1039,0
1040,2
1041,2
1042,2
1043,0
1044,2
1045,2
1046,2
1047,0
1048,2
1049,2
1050,1
1051,1
1052,1
1053,2
1054,1
1055,1
1056,1
1057,0
1058,1
1059,0
1060,0
1061,0
1062,0
1063,1
1064,2
1065,1
1066,2
1067,1
1068,2
1069,2
1070,2
1071,0
1072,1
1073,1
1074,0
1075,2
1076,2
1077,0
1078,1
1079,2
1080,2
1081,2
1082,0
1083,1
1084,1
1085,1
1086,0
1087,2
1088,0
1089,0
1090,2
1091,2
1092,2
1093,1
1094,0
1095,0
1096,1
1097,0
1098,0
1099,1
1100,0
1101,0
1102,2
1103,0
1104,1
1105,2
1106,2
1107,2
1108,0
1109,1
1110,1
1111,2
1112,1
1113,2
1114,1
1115,1
1116,1
1117,0
1118,2
1119,0
1120,0
1121,0
1122,1
1123,0
1124,2
1125,2
1126,2
1127,0
1128,0
1129,1
1130,0
1131,2
1132,0
1133,0
1134,2
1135,0
1136,2
1137,0
1138,2
1139,2
1140,2
1141,1
1142,0
1143,0
1144,0
1145,2
1146,1
1147,2
1148,2
1149,1
1150,1
1151,2
1152,2
1153,0
1154,2
1155,0
1156,2
1157,0
1158,2
1159,0
1160,0
1161,0
1162,2
1163,0
1164,2
1165,2
1166,2
1167,1
1168,2
1169,2
1170,2
1171,1
1172,1
1173,1
1174,0
1175,1
1176,0
1177,1
1178,2
1179,2
1180,1
1181,1
1182,2
1183,1
1184,2
1185,2
1186,2
1187,0
1188,0
1189,2
1190,2
1191,2
1192,2
1193,0
1194,2
1195,2
1196,2
1197,0
1198,2
1199,2
1200,1
1201,2
1202,0
1203,0
1204,0
1205,0
1206,1
1207,0
1208,1
1209,2
1210,0
1211,1
1212,1
1213,0
1214,1
1215,2
1216,2
1217,0
1218,1
1219,0
1220,0
1221,0
1222,0
1223,1
1224,1
1225,0
1226,2
1227,2
1228,2
1229,0
1230,2
1231,1
1232,1
1233,2
1234,1
